Región;Especie;Centro;Barrio;Jaula;Cepa;Genetica;Piscucultura origen;Año cierre centro;Batch/Lote; Fecha inicio Siembra ; Fecha Fin ciclo ;Meses cultivo;Num siembra;Peso siembra;% Mortalidad;% Dif inventario;N° cosecha;Biom. Cosecha wfe;Peso Cosecha wfe;FCRb;FCRe;SGR;Productividad;Alimento consumido
XI;Salar;Chivato 1;22b;114;Aquagen;QTL IPN SRS;Sealand;2019;Batch 40;05-09-2018;16-10-2019;13,3;57.222;163;5%;4%;56.603;223.918;3,96;1,22;1,25;0,80;3,91;290.224
XI;Salar;Chivato 1;22b;118;Aquagen;QTL IPN SRS;Sealand;2019;Batch 40;09-09-2018;23-10-2019;13,4;57.222;165;6%;7%;57.801;228.389;3,95;1,18;1,22;0,79;3,99;287.932
XI;Salar;SEForsyth;19a;4;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;06-11-2018;03-12-2019;12,9;56.245;208;6%;2%;54.056;251.782;4,66;1,09;1,13;0,81;4,48;291.745
XI;Salar;SEForsyth;19a;2;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;06-11-2018;10-12-2019;13,1;56.245;221;4%;0%;54.046;256.765;4,75;1,11;1,13;0,79;4,57;297.891
XI;Salar;SEForsyth;19a;6;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;07-11-2018;07-01-2020;14,0;56.245;184;4%;4%;56.116;271.639;4,84;1,09;1,12;0,78;4,83;315.057
XI;Salar;SEForsyth;19a;8;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;07-11-2018;10-02-2020;15,1;56.243;183;7%;2%;53.681;303.450;5,65;1,11;1,16;0,76;5,40;366.541
XI;Salar;SEForsyth;19a;13;Aquagen;QTL IPN SRS AGE;Sealand;2020;Batch 41;16-11-2018;13-11-2019;11,9;56.245;223;4%;2%;55.419;257.487;4,65;1,05;1,08;0,86;4,58;284.583
XI;Salar;SEForsyth;19a;14;Aquagen;QTL IPN SRS AGE;Sealand;2020;Batch 41;13-11-2018;18-11-2019;12,1;56.245;179;3%;1%;55.119;253.278;4,60;1,07;1,09;0,90;4,50;285.577
XI;Salar;SEForsyth;19a;3;Aquagen;QTL IPN SRS AGE;Sealand;2020;Batch 41;08-11-2018;19-11-2019;12,3;56.245;198;3%;2%;55.911;269.608;4,82;1,08;1,09;0,87;4,79;304.254
XI;Salar;SEForsyth;19a;18;Aquagen;QTL IPN SRS AGE;Sealand;2020;Batch 41;15-11-2018;06-12-2019;12,7;56.245;184;4%;4%;56.079;261.835;4,67;1,10;1,12;0,86;4,66;304.756
XI;Salar;SEForsyth;19a;17;Aquagen;QTL IPN SRS AGE;Sealand;2020;Batch 41;18-11-2018;12-12-2019;12,8;56.245;189;3%;0%;54.287;261.255;4,81;1,11;1,12;0,85;4,64;303.910
XI;Salar;SEForsyth;19a;15;Aquagen;QTL IPN SRS AGE;Sealand;2020;Batch 41;17-11-2018;14-12-2019;12,9;56.245;187;3%;2%;55.595;266.169;4,79;1,09;1,12;0,85;4,73;307.791
XI;Salar;SEForsyth;19a;1;Aquagen;QTL IPN SRS AGE;Sealand;2020;Batch 41;08-11-2018;20-12-2019;13,3;56.245;198;2%;-1%;54.416;282.254;5,19;1,13;1,14;0,82;5,02;333.117
XI;Salar;SEForsyth;19a;16;Aquagen;QTL IPN SRS AGE;Sealand;2020;Batch 41;15-11-2018;10-01-2020;13,8;56.245;181;3%;0%;54.549;283.146;5,19;1,15;1,17;0,81;5,03;344.419
XI;Salar;SEForsyth;19a;9;Aquagen;QTL IPN SRS AGE;Sealand;2020;Batch 41;15-11-2018;22-01-2020;14,2;56.245;194;4%;6%;56.916;295.283;5,19;1,16;1,20;0,78;5,25;368.838
XI;Salar;SEForsyth;19a;11;Aquagen;QTL IPN SRS AGE;Sealand;2020;Batch 41;16-11-2018;29-01-2020;14,4;56.245;191;5%;3%;54.903;288.236;5,25;1,16;1,21;0,77;5,12;362.969
XI;Salar;SEForsyth;19a;10;Aquagen;QTL IPN SRS AGE;Sealand;2020;Batch 41;10-11-2018;02-02-2020;14,7;56.245;183;6%;-9%;47.861;264.042;5,52;1,28;1,35;0,77;4,69;369.127
XI;Salar;SEForsyth;19a;12;Aquagen;QTL IPN SRS AGE;Sealand;2020;Batch 41;13-11-2018;08-02-2020;14,8;56.245;179;6%;3%;54.583;303.372;5,56;1,16;1,21;0,78;5,39;383.385
XI;Salar;SEForsyth;19a;5;Aquagen;QTL IPN SRS AGE;Sealand;2020;Batch 41;09-11-2018;10-02-2020;15,0;56.245;175;6%;-1%;52.549;294.836;5,61;1,15;1,19;0,77;5,24;366.783
XI;Salar;SEForsyth;19a;7;Aquagen;QTL IPN SRS AGE;Sealand;2020;Batch 41;09-11-2018;11-02-2020;15,0;56.245;180;4%;9%;59.167;328.206;5,55;1,12;1,15;0,76;5,84;393.590
XI;Salar;Victoria;22b;1;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;29-09-2018;21-09-2019;11,7;55.000;181;9%;0%;49.878;139.670;2,80;1,27;1,37;0,79;2,54;192.125
XI;Salar;Victoria;22b;2;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;02-10-2018;09-10-2019;12,2;55.000;176;8%;-1%;49.804;139.526;2,80;1,21;1,27;0,76;2,54;178.762
XI;Salar;Victoria;22b;7;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;30-09-2018;12-10-2019;12,4;55.000;176;4%;-1%;52.306;173.586;3,32;1,18;1,21;0,80;3,16;213.521
XI;Salar;Victoria;22b;9;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;01-10-2018;19-10-2019;12,6;55.000;180;4%;-4%;50.568;162.986;3,22;1,25;1,28;0,77;2,96;212.035
XI;Salar;Victoria;22b;8;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;04-10-2018;22-11-2019;13,6;55.000;173;10%;2%;50.785;175.422;3,45;1,19;1,29;0,74;3,19;230.684
XI;Salar;Victoria;22b;3;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;29-09-2018;27-11-2019;13,9;55.000;182;9%;-1%;49.733;196.526;3,95;1,12;1,19;0,74;3,57;240.325
XI;Salar;Victoria;22b;6;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;02-10-2018;27-11-2019;13,8;55.000;172;8%;4%;52.411;167.330;3,19;1,21;1,30;0,71;3,04;220.808
XI;Salar;Victoria;22b;14;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;09-10-2018;25-12-2019;14,5;55.000;159;5%;-5%;49.198;191.236;3,89;1,22;1,26;0,74;3,48;248.087
XI;Salar;Victoria;22b;4;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;02-10-2018;05-01-2020;15,1;55.000;171;10%;-2%;48.182;202.214;4,20;1,21;1,31;0,71;3,68;272.147
XI;Salar;Victoria;22b;10;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;05-10-2018;07-01-2020;15,0;55.000;181;12%;-2%;47.187;190.838;4,04;1,23;1,35;0,69;3,47;262.959
XI;Salar;Victoria;22b;15;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;07-10-2018;07-01-2020;15,0;55.000;163;7%;-4%;48.933;173.478;3,55;1,28;1,35;0,69;3,15;238.936
XI;Salar;Victoria;22b;16;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;10-10-2018;14-01-2020;15,1;55.000;160;10%;3%;51.046;208.750;4,09;1,14;1,22;0,72;3,80;263.217
XI;Salar;Victoria;22b;18;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;11-10-2018;19-01-2020;15,2;55.000;163;9%;-7%;46.442;208.464;4,49;1,24;1,33;0,73;3,79;286.600
XI;Salar;Victoria;22b;20;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;11-10-2018;20-01-2020;15,3;55.000;165;8%;-9%;45.512;190.143;4,18;1,35;1,44;0,71;3,46;281.796
XI;Salar;Victoria;22b;19;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;08-10-2018;26-01-2020;15,6;55.000;164;10%;-10%;43.910;184.188;4,19;1,26;1,34;0,70;3,35;254.042
XI;Salar;Victoria;22b;17;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;07-10-2018;28-01-2020;15,7;55.000;164;11%;-7%;45.299;179.712;3,97;1,28;1,40;0,68;3,27;257.356
XI;Salar;Victoria;22b;12;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;08-10-2018;28-01-2020;15,6;55.000;158;7%;-12%;44.814;204.758;4,57;1,31;1,37;0,72;3,72;290.563
XI;Salar;Victoria;22b;5;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;29-09-2018;31-01-2020;16,0;55.000;174;9%;3%;51.491;237.736;4,62;1,16;1,24;0,68;4,32;305.684
XI;Salar;Victoria;22b;13;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;06-10-2018;16-02-2020;16,3;55.000;165;7%;17%;60.796;263.368;4,33;1,06;1,10;0,67;4,79;301.642
XI;Salar;Victoria;22b;11;Aquagen;QTL IPN SRS;Sealand;2020;Batch 40;05-10-2018;18-02-2020;16,4;55.000;187;13%;2%;48.822;224.684;4,60;1,31;1,43;0,65;4,09;329.844
XI;Salar;Midhurst;19a;3A;Aquagen;QTL IPN SRS AGE;Sealand;2020;Batch 41;04-01-2019;05-02-2020;13,0;95.000;242;5%;-23%;68.764;381.873;5,55;1,37;1,40;0,81;4,02;543.014
XI;Salar;Midhurst;19a;1A;Aquagen;QTL IPN SRS AGE;Sealand;2020;Batch 41;31-12-2018;12-02-2020;13,4;95.000;279;7%;2%;90.674;501.558;5,53;1,07;1,11;0,75;5,28;569.774
XI;Salar;Midhurst;19a;2A;Aquagen;QTL IPN SRS AGE;Sealand;2020;Batch 41;01-01-2019;19-02-2020;13,6;95.000;213;9%;4%;90.648;485.330;5,35;1,09;1,15;0,80;5,11;577.703
XI;Salar;Midhurst;19a;4A;Aquagen;QTL IPN AGE;Sealand;2020;Batch 42;06-01-2019;21-02-2020;13,5;95.000;138;5%;6%;96.397;441.468;4,58;1,08;1,10;0,87;4,65;506.731
XI;Salar;Midhurst;19a;6A;Aquagen;QTL IPN AGE;Sealand;2020;Batch 42;10-01-2019;25-02-2020;13,5;95.000;139;4%;9%;99.212;450.312;4,54;1,03;1,04;0,86;4,74;491.640
XI;Salar;Midhurst;19a;5A;Aquagen;QTL IPN AGE;Sealand;2020;Batch 42;09-01-2019;27-02-2020;13,6;95.000;153;6%;-2%;87.607;421.934;4,82;1,10;1,13;0,85;4,44;494.932
XI;Salar;Midhurst;19a;7A;Aquagen;QTL IPN AGE;Sealand;2020;Batch 42;10-01-2019;19-03-2020;14,2;95.000;146;5%;0%;90.417;448.767;4,96;1,08;1,11;0,83;4,72;521.211
XI;Salar;Midhurst;19a;8A;Aquagen;QTL IPN AGE;Sealand;2020;Batch 42;19-01-2019;10-04-2020;14,7;95.000;148;12%;1%;85.064;432.265;5,08;1,12;1,22;0,81;4,55;549.154
XI;Salar;Midhurst;19a;9A;Aquagen;QTL IPN AGE;Sealand;2020;Batch 42;21-01-2019;23-04-2020;15,0;95.000;144;14%;-2%;79.670;441.214;5,54;1,05;1,17;0,81;4,64;540.066
XI;Salar;Midhurst;19a;10A;Aquagen;QTL IPN AGE;Sealand;2020;Batch 42;26-01-2019;23-04-2020;14,9;95.000;140;11%;-1%;83.867;402.801;4,80;1,22;1,32;0,80;4,24;553.710
XI;Salar;Forsyth;19a;4A;Aquagen;QTL IPN AGE;Sealand;2020;Batch 42;20-02-2019;05-03-2020;12,4;95.000;180;7%;0%;87.885;427.150;4,86;1,09;1,14;0,89;4,50;505.431
XI;Salar;Forsyth;19a;2A;Aquagen;QTL IPN AGE;Sealand;2020;Batch 42;16-02-2019;11-03-2020;12,8;95.000;160;9%;2%;88.665;412.811;4,66;1,06;1,11;0,89;4,35;474.375
XI;Salar;Forsyth;19a;1A;Aquagen;QTL IPN AGE;Sealand;2020;Batch 42;20-02-2019;12-03-2020;12,7;95.000;175;8%;-10%;77.417;383.979;4,96;1,14;1,20;0,89;4,04;475.994
XI;Salar;Forsyth;19a;3A;Aquagen;QTL IPN AGE;Sealand;2020;Batch 42;22-02-2019;15-03-2020;12,7;95.000;168;6%;-3%;86.630;431.163;4,98;1,03;1,07;0,89;4,54;477.794
XI;Salar;Forsyth;19a;5A;Aquagen;QTL IPN AGE;Sealand;2020;Batch 42;26-02-2019;01-05-2020;14,1;45.000;164;12%;36%;55.670;321.043;5,77;1,23;1,31;0,85;7,13;442.055
XI;Salar;Forsyth;19a;6A;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;04-03-2019;30-04-2020;13,9;90.000;117;8%;3%;86.133;414.322;4,81;1,08;1,15;0,90;4,60;498.524
XI;Salar;Forsyth;19a;10A;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;11-03-2019;07-05-2020;13,9;92.000;117;5%;-7%;81.518;397.464;4,88;1,13;1,17;0,90;4,32;486.184
XI;Salar;Forsyth;19a;9A;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;01-03-2019;17-05-2020;14,5;90.026;116;5%;6%;90.313;440.374;4,88;1,11;1,14;0,86;4,89;529.361
XI;Salar;Forsyth;19a;7A;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;01-03-2019;19-05-2020;14,6;95.000;111;5%;1%;91.508;409.976;4,48;1,10;1,13;0,85;4,32;487.844
XI;Salar;Forsyth;19a;8A;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;04-03-2019;21-05-2020;14,6;90.000;115;6%;4%;88.309;427.386;4,84;1,13;1,18;0,86;4,75;531.838
XI;Salar;Ninualac 2;21c;113;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;29-04-2019;26-05-2020;12,9;58.333;161;5%;3%;56.803;240.112;4,23;1,08;1,13;0,85;4,12;280.127
XI;Salar;Ninualac 2;21c;124;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;17-04-2019;29-05-2020;13,4;58.333;183;3%;1%;57.109;288.175;5,05;1,02;1,05;0,83;4,94;312.777
XI;Salar;Ninualac 2;21c;116;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;25-04-2019;01-06-2020;13,2;58.333;158;5%;6%;58.992;279.542;4,74;1,05;1,08;0,86;4,79;315.145
XI;Salar;Ninualac 2;21c;123;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;21-04-2019;03-06-2020;13,4;58.333;169;3%;5%;59.610;277.739;4,66;1,07;1,09;0,83;4,76;315.030
XI;Salar;Ninualac 2;21c;122;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;19-04-2019;04-06-2020;13,5;58.333;177;6%;0%;55.031;266.345;4,84;1,08;1,13;0,82;4,57;311.749
XI;Salar;Ninualac 2;21c;120;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;19-04-2019;07-06-2020;13,6;58.333;174;5%;1%;56.261;271.147;4,82;1,06;1,10;0,82;4,65;309.872
XI;Salar;Ninualac 2;21c;121;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;21-04-2019;09-06-2020;13,6;58.333;169;3%;-5%;53.609;250.079;4,66;1,12;1,14;0,82;4,29;295.708
XI;Salar;Ninualac 2;21c;119;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;23-04-2019;11-06-2020;13,6;58.333;164;9%;2%;54.337;239.063;4,40;1,14;1,21;0,81;4,10;299.936
XI;Salar;Ninualac 2;21c;112;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;25-04-2019;14-06-2020;13,6;58.333;165;7%;2%;55.000;257.299;4,68;1,11;1,17;0,82;4,41;313.718
XI;Salar;Ninualac 2;21c;106;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;30-04-2019;18-06-2020;13,6;58.333;147;8%;1%;53.940;232.549;4,31;1,07;1,13;0,83;3,99;273.642
XI;Salar;Ninualac 2;21c;111;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;26-04-2019;25-06-2020;14,0;58.333;164;8%;2%;54.709;256.914;4,70;1,09;1,15;0,80;4,40;306.265
XI;Salar;Ninualac 2;21c;117;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;29-04-2019;25-06-2020;13,9;58.333;160;8%;5%;56.486;242.204;4,29;1,13;1,17;0,79;4,15;294.809
XI;Salar;Ninualac 2;21c;114;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;25-04-2019;30-06-2020;14,2;58.333;158;9%;5%;55.844;282.216;5,05;1,06;1,12;0,82;4,84;329.165
