Región;Especie;Centro;Barrio;Jaula;Cepa;Genetica;Piscucultura origen;Año cierre centro;Batch/Lote; Fecha inicio Siembra ; Fecha Fin ciclo ;Meses cultivo;Num siembra;Peso siembra;% Mortalidad;% Dif inventario;N° cosecha;Biom. Cosecha wfe;Peso Cosecha wfe;FCRb;FCRe;SGR;Productividad;Alimento consumido
XI;Salar;Ninualac 2;21c;118;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;23-04-2019;05-07-2020;14,4;58.333;164;5%;1%;56.108;278.121;4,96;1,10;1,14;0,79;4,77;329.389
XI;Salar;Ninualac 2;21c;115;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;29-04-2019;06-07-2020;14,2;58.333;161;7%;4%;56.651;283.176;5,00;1,11;1,17;0,81;4,85;344.205
XI;Salar;Ninualac 2;21c;108;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;04-05-2019;09-07-2020;14,2;58.333;165;11%;0%;51.972;250.530;4,82;1,13;1,19;0,80;4,29;308.719
XI;Salar;Ninualac 2;21c;110;Aquagen;QTL IPN AGE;Sealand;2020;Batch 43;04-05-2019;15-07-2020;14,4;58.333;165;6%;5%;57.829;275.926;4,77;1,13;1,16;0,78;4,73;334.105
XI;Salar;Ninualac 2;21c;109;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;12-05-2019;18-06-2020;13,2;58.333;141;5%;-16%;46.269;209.992;4,54;1,07;1,10;0,88;3,60;238.836
XI;Salar;Ninualac 2;21c;101;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;12-05-2019;11-07-2020;14,0;58.333;131;7%;2%;55.456;251.436;4,53;1,04;1,08;0,85;4,31;284.164
XI;Salar;Ninualac 2;21c;104;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;15-05-2019;20-07-2020;14,2;58.333;142;10%;2%;53.263;255.371;4,79;1,04;1,11;0,83;4,38;296.371
XI;Salar;Ninualac 2;21c;107;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;12-05-2019;23-07-2020;14,4;58.333;141;7%;23%;67.827;321.860;4,75;1,04;1,07;0,82;5,52;360.825
XI;Salar;Ninualac 2;21c;103;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;18-05-2019;25-07-2020;14,2;58.333;129;8%;-12%;46.793;226.318;4,84;1,09;1,14;0,85;3,88;269.651
XI;Salar;Ninualac 2;21c;102;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;18-05-2019;28-07-2020;14,3;58.333;128;9%;2%;54.200;258.200;4,76;1,05;1,09;0,84;4,43;293.364
XI;Salar;Ninualac 2;21c;105;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;18-05-2019;28-07-2020;14,3;58.333;135;9%;12%;59.900;281.346;4,70;1,03;1,07;0,83;4,82;316.178
XI;Salar;Tangbac;21c;112;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;01-07-2019;16-07-2020;12,5;55.555;165;23%;-5%;40.146;181.349;4,52;1,04;1,25;0,89;3,26;231.414
XI;Salar;Tangbac;21c;102;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;29-06-2019;01-08-2020;13,1;55.555;171;22%;-3%;41.485;207.281;5,00;0,96;1,11;0,86;3,73;236.162
XI;Salar;Tangbac;21c;111;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;03-07-2019;04-08-2020;13,0;55.555;163;20%;-9%;39.043;203.490;5,21;1,07;1,20;0,89;3,66;250.869
XI;Salar;Tangbac;21c;103;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;26-06-2019;04-08-2020;13,3;55.555;179;20%;-5%;41.722;207.280;4,97;1,07;1,22;0,84;3,73;260.356
XI;Salar;Tangbac;21c;105;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;27-06-2019;11-08-2020;13,5;55.555;172;11%;-1%;48.758;237.421;4,87;1,02;1,10;0,83;4,27;270.294
XI;Salar;Tangbac;21c;107;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;27-06-2019;11-08-2020;13,5;55.555;168;15%;-6%;43.570;209.880;4,82;1,07;1,19;0,83;3,78;257.660
XI;Salar;Tangbac;21c;109;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;30-06-2019;13-08-2020;13,4;55.555;165;19%;-2%;43.621;210.921;4,84;1,05;1,19;0,84;3,80;258.012
XI;Salar;Tangbac;21c;110;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;29-06-2019;13-08-2020;13,5;55.555;168;18%;-6%;42.223;208.312;4,93;1,05;1,22;0,84;3,75;261.030
XI;Salar;Tangbac;21c;108;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;29-06-2019;13-08-2020;13,5;55.555;169;20%;-2%;43.492;206.910;4,76;1,05;1,23;0,83;3,72;261.592
XI;Salar;Tangbac;21c;115;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;05-07-2019;17-08-2020;13,4;55.555;163;9%;-15%;42.307;206.655;4,88;1,21;1,28;0,85;3,72;272.590
XI;Salar;Tangbac;21c;101;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;26-06-2019;18-08-2020;13,7;55.555;211;18%;0%;45.463;232.728;5,12;1,03;1,12;0,78;4,19;267.320
XI;Salar;Tangbac;21c;104;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;29-06-2019;18-08-2020;13,6;55.555;174;18%;-1%;45.111;223.404;4,95;0,99;1,08;0,82;4,02;250.134
XI;Salar;Tangbac;21c;106;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;29-06-2019;28-08-2020;14,0;55.555;168;15%;-4%;45.211;233.588;5,17;1,04;1,14;0,82;4,20;275.378
XI;Salar;Tangbac;21c;117;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;10-07-2019;28-08-2020;13,6;55.555;156;19%;-7%;41.133;192.025;4,67;1,11;1,28;0,84;3,46;253.379
XI;Salar;Tangbac;21c;118;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;11-07-2019;04-09-2020;13,8;55.555;162;22%;0%;43.091;205.820;4,78;1,03;1,20;0,82;3,70;255.430
XI;Salar;Tangbac;21c;113;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;03-07-2019;05-09-2020;14,1;55.555;165;21%;0%;44.172;227.344;5,15;1,02;1,14;0,82;4,09;268.737
XI;Salar;Tangbac;21c;116;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;11-07-2019;05-09-2020;13,8;55.555;179;26%;2%;41.950;189.266;4,51;1,03;1,32;0,78;3,41;254.655
XI;Salar;Tangbac;21c;114;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;06-07-2019;07-09-2020;14,1;55.555;157;26%;-8%;36.773;179.337;4,88;1,10;1,38;0,82;3,23;253.491
XI;Salar;Dring 3;22a;117;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;13-08-2019;17-09-2020;13,1;47.222;139;2%;-4%;44.075;244.207;5,54;1,08;1,10;0,94;5,17;280.827
XI;Salar;Dring 3;22a;118;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;11-08-2019;19-09-2020;13,3;47.222;160;3%;-1%;45.411;250.748;5,52;1,05;1,07;0,89;5,31;280.848
XI;Salar;Dring 3;22a;116;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;11-08-2019;19-09-2020;13,3;47.222;160;3%;-3%;44.599;235.401;5,28;1,08;1,10;0,88;4,98;269.210
XI;Salar;Dring 3;22a;103;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;22-08-2019;23-09-2020;13,0;47.222;135;3%;-4%;43.823;246.826;5,63;1,03;1,05;0,96;5,23;271.508
XI;Salar;Dring 3;22a;101;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;22-08-2019;27-09-2020;13,2;47.222;123;2%;-1%;45.486;242.143;5,32;1,08;1,09;0,96;5,13;277.986
XI;Salar;Dring 3;22a;115;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;14-08-2019;01-10-2020;13,6;47.222;139;3%;-1%;45.523;240.280;5,28;1,09;1,11;0,90;5,09;278.407
XI;Salar;Dring 3;22a;113;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;14-08-2019;01-10-2020;13,6;47.222;137;5%;-1%;44.440;241.261;5,43;1,07;1,09;0,91;5,11;276.285
XI;Salar;Dring 3;22a;104;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;17-08-2019;05-10-2020;13,6;47.222;129;3%;4%;47.978;266.509;5,55;1,01;1,02;0,92;5,64;285.769
XI;Salar;Dring 3;22a;102;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;23-08-2019;05-10-2020;13,4;47.222;132;3%;3%;47.099;253.176;5,38;1,04;1,05;0,92;5,36;277.975
XI;Salar;Dring 3;22a;105;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;23-08-2019;07-10-2020;13,5;47.222;125;3%;-1%;45.197;251.072;5,56;1,06;1,07;0,94;5,32;283.562
XI;Salar;Dring 3;22a;114;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;12-08-2019;10-10-2020;13,9;47.222;160;3%;-3%;44.179;247.250;5,60;1,06;1,08;0,85;5,24;278.578
XI;Salar;Dring 3;22a;111;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;15-08-2019;13-10-2020;13,9;47.222;125;4%;-3%;43.667;226.679;5,19;1,12;1,14;0,89;4,80;270.675
XI;Salar;Dring 3;22a;109;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;18-08-2019;19-10-2020;14,0;47.222;129;5%;-1%;44.332;232.346;5,24;1,17;1,20;0,88;4,92;292.311
XI;Salar;Dring 3;22a;107;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;18-08-2019;25-10-2020;14,2;47.222;127;3%;0%;45.807;252.994;5,52;1,09;1,10;0,89;5,36;293.742
XI;Salar;Dring 3;22a;112;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;15-08-2019;26-10-2020;14,4;47.222;125;8%;-1%;43.204;226.813;5,25;1,11;1,16;0,87;4,80;276.197
XI;Salar;Dring 3;22a;110;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;15-08-2019;26-10-2020;14,4;47.222;125;5%;0%;44.772;251.004;5,61;1,06;1,09;0,88;5,32;288.057
XI;Salar;Dring 3;22a;106;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;16-08-2019;16-10-2020;14,0;47.222;206;10%;-13%;36.231;206.070;5,69;1,08;1,15;0,79;4,36;243.203
XI;Salar;Dring 3;22a;108;Aquagen;QTL IPN AGE;Sealand;2020;Batch 44;16-08-2019;17-10-2020;14,0;47.222;201;15%;-12%;34.549;195.369;5,65;1,16;1,26;0,80;4,14;252.121
XI;Salar;Punta Rouse;30b;1;Aquagen;QTL IPN SRS;Rupanquito;2020;Lote 1089;24-08-2019;06-08-2020;11,4;55.170;172;8%;0%;50.816;255.536;5,03;1,02;1,09;0,99;4,63;289.773
XI;Salar;Punta Rouse;30b;3;Aquagen;QTL IPN SRS;Rupanquito;2020;Lote 1089;25-08-2019;23-08-2020;11,9;55.170;163;2%;2%;54.962;285.002;5,19;1,03;1,04;0,97;5,17;310.198
XI;Salar;Punta Rouse;30b;5;Aquagen;QTL IPN SRS;Rupanquito;2020;Lote 1089;29-08-2019;25-09-2020;12,9;55.170;154;2%;5%;56.702;307.351;5,42;1,05;1,06;0,92;5,57;340.002
XI;Salar;Punta Rouse;30b;7;Aquagen;QTL IPN SRS;Rupanquito;2020;Lote 1089;30-08-2019;25-09-2020;12,9;55.170;138;3%;1%;53.800;280.765;5,22;1,08;1,09;0,94;5,09;320.308
XI;Salar;Punta Rouse;30b;9;Aquagen;QTL IPN SRS;Rupanquito;2020;Lote 1089;05-09-2019;27-09-2020;12,7;55.170;133;3%;1%;53.965;271.211;5,03;1,10;1,12;0,96;4,92;319.733
XI;Salar;Punta Rouse;30b;2;Aquagen;QTL IPN SRS;Rupanquito;2020;Lote 1089;05-09-2019;30-09-2020;12,8;55.170;133;3%;-2%;52.180;277.583;5,32;1,12;1,13;0,96;5,03;329.910
XI;Salar;Punta Rouse;30b;4;Aquagen;QTL IPN SRS;Rupanquito;2020;Lote 1089;05-09-2019;03-10-2020;12,9;55.170;132;2%;3%;55.452;290.859;5,25;1,06;1,07;0,95;5,27;327.727
XI;Salar;Punta Rouse;30b;6;Aquagen;QTL IPN SRS;Rupanquito;2020;Lote 1089;06-09-2019;08-10-2020;13,0;55.170;129;2%;1%;54.585;276.064;5,06;1,08;1,09;0,94;5,00;314.837
XI;Salar;Punta Rouse;30b;8;Aquagen;QTL IPN SRS;Rupanquito;2020;Lote 1089;11-09-2019;03-11-2020;13,7;55.170;130;2%;1%;54.126;276.038;5,10;1,09;1,11;0,89;5,00;320.180
XI;Salar;Punta Rouse;30b;10;Aquagen;QTL IPN SRS;Rupanquito;2020;Lote 1089;12-09-2019;04-11-2020;13,7;55.170;129;3%;1%;53.800;287.886;5,35;1,08;1,10;0,91;5,22;334.028
XI;Salar;Punta Rouse;30b;12;Aquagen;QTL IPN SRS;Rupanquito;2020;Lote 1089;15-09-2019;12-11-2020;13,9;55.170;133;7%;3%;52.496;296.324;5,64;1,14;1,18;0,90;5,37;367.408
XI;Salar;Punta Rouse;30b;18;Aquagen;QTL IPN SRS;Rupanquito;2020;Lote 1089;03-10-2019;13-11-2020;13,3;55.170;127;10%;-2%;48.432;254.251;5,25;1,13;1,16;0,93;4,61;307.968
XI;Salar;Punta Rouse;30b;20;Aquagen;QTL IPN SRS;Rupanquito;2020;Lote 1089;05-10-2019;21-11-2020;13,5;55.170;120;14%;2%;48.484;262.610;5,42;1,11;1,17;0,94;4,76;322.800
XI;Salar;Punta Rouse;30b;14;Aquagen;QTL IPN SRS;Rupanquito;2020;Lote 1089;18-09-2019;27-11-2020;14,3;55.170;131;9%;2%;51.355;289.834;5,64;1,13;1,19;0,88;5,25;362.365
XI;Salar;Punta Rouse;30b;16;Aquagen;QTL IPN SRS;Rupanquito;2020;Lote 1089;03-10-2019;27-11-2020;13,8;55.170;135;10%;3%;51.680;276.162;5,34;1,09;1,13;0,89;5,01;328.028
XI;Salar;Punta Rouse;30b;22;Aquagen;QTL IPN SRS;Rupanquito;2020;Lote 1089;07-10-2019;29-11-2020;13,7;55.170;121;10%;0%;49.677;262.784;5,29;1,14;1,18;0,92;4,76;324.375
XI;Salar;Punta Rouse;30b;11;Aquagen;QTL IPN AGE;Santa Teresa;2020;Lote 2004;15-09-2019;12-10-2020;12,9;55.170;109;13%;1%;48.758;235.450;4,83;1,12;1,17;0,98;4,27;289.300
XI;Salar;Punta Rouse;30b;17;Aquagen;QTL IPN AGE;Santa Teresa;2020;Lote 2004;04-10-2019;29-10-2020;12,8;55.170;98;11%;0%;49.122;245.869;5,01;1,13;1,15;1,02;4,46;298.514
XI;Salar;Punta Rouse;30b;19;Aquagen;QTL IPN AGE;Santa Teresa;2020;Lote 2004;04-10-2019;06-11-2020;13,1;55.170;97;17%;-4%;43.227;235.326;5,44;1,17;1,21;1,03;4,27;300.167
XI;Salar;Punta Rouse;30b;21;Aquagen;QTL IPN AGE;Santa Teresa;2020;Lote 2004;07-10-2019;08-11-2020;13,0;55.170;113;12%;-9%;43.240;241.185;5,58;1,15;1,18;1,00;4,37;298.377
XI;Salar;Punta Rouse;30b;13;Aquagen;QTL IPN AGE;Santa Teresa;2020;Lote 2004;15-09-2019;08-11-2020;13,8;55.170;110;10%;-4%;47.891;247.818;5,17;1,14;1,17;0,93;4,49;305.734
XI;Salar;Punta Rouse;30b;15;Aquagen;QTL IPN AGE;Santa Teresa;2020;Lote 2004;15-09-2019;10-11-2020;13,8;55.170;100;15%;-3%;44.934;248.578;5,53;1,12;1,18;0,97;4,51;308.306
XI;Salar;Ester;30a;112;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;26-09-2019;12-10-2020;12,5;58.333;229;4%;-2%;54.375;303.716;5,59;1,08;1,11;0,86;5,21;347.367
XI;Salar;Ester;30a;110;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;28-09-2019;20-10-2020;12,7;58.333;161;8%;-4%;51.175;258.468;5,05;1,15;1,22;0,91;4,43;328.395
XI;Salar;Ester;30a;111;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;29-09-2019;23-10-2020;12,8;58.333;156;5%;-4%;52.855;271.958;5,15;1,07;1,11;0,91;4,66;314.628
XI;Salar;Ester;30a;109;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;29-09-2019;31-10-2020;13,0;58.333;154;4%;0%;55.919;278.887;4,99;1,11;1,14;0,89;4,78;330.630
XI;Salar;Ester;30a;107;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;30-09-2019;01-12-2020;14,0;58.333;146;6%;-2%;53.716;262.061;4,88;1,15;1,21;0,84;4,49;331.559
XI;Salar;Ester;30a;103;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;09-10-2019;01-12-2020;13,7;58.333;163;7%;-1%;53.354;269.758;5,06;1,15;1,23;0,84;4,62;345.509
XI;Salar;Ester;30a;106;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;02-10-2019;01-12-2020;14,0;58.333;161;4%;-4%;53.752;260.749;4,85;1,16;1,20;0,82;4,47;324.347
XI;Salar;Ester;30a;108;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;01-10-2019;05-12-2020;14,1;58.333;151;6%;-3%;53.429;261.128;4,89;1,22;1,29;0,82;4,48;349.820
XI;Salar;Ester;30a;105;Aquagen;QTL IPN AGE;Sealand;2020;Batch 45R;06-10-2019;20-12-2020;14,5;58.333;163;5%;-1%;54.918;261.980;4,77;1,18;1,23;0,78;4,49;334.868
XI;Salar;Ester;30a;104;Aquagen;QTL IPN GROWTH;Sealand;2020;Batch 46;11-10-2019;17-11-2020;13,2;58.333;152;7%;0%;53.869;262.578;4,87;1,16;1,24;0,88;4,50;339.933
XI;Salar;Ester;30a;102;Aquagen;QTL IPN GROWTH;Sealand;2020;Batch 46;11-10-2019;26-11-2020;13,5;58.333;150;7%;-3%;52.560;255.502;4,86;1,21;1,30;0,86;4,38;346.987
XI;Salar;Ester;30a;101;Aquagen;QTL IPN GROWTH;Sealand;2020;Batch 46;12-10-2019;14-12-2020;14,1;58.333;148;9%;-1%;52.851;256.955;4,86;1,19;1,29;0,83;4,40;344.707
XI;Salar;Concheo 2;26b;1A;Aquagen;QTL IPN AGE;Quimeyco;2020;Lote 1088;29-06-2019;29-07-2020;13,0;44.972;131;12%;0%;39.449;214.290;5,43;1,06;1,13;0,96;4,76;253.258
XI;Salar;Concheo 2;26b;17A;Aquagen;QTL IPN AGE;Quimeyco;2020;Lote 1088;06-07-2019;10-08-2020;13,1;44.972;110;12%;7%;42.705;245.705;5,75;0,97;1,02;1,00;5,46;263.375
XI;Salar;Concheo 2;26b;2A;Aquagen;QTL IPN AGE;Quimeyco;2020;Lote 1088;29-06-2019;25-08-2020;13,9;44.972;131;10%;-6%;37.827;200.784;5,31;1,10;1,16;0,89;4,46;242.942
XI;Salar;Concheo 2;26b;3A;Aquagen;QTL IPN AGE;Quimeyco;2020;Lote 1088;30-06-2019;07-09-2020;14,3;44.972;131;20%;0%;36.097;188.367;5,22;1,08;1,18;0,86;4,19;232.582
XI;Salar;Concheo 2;26b;16A;Aquagen;QTL IPN AGE;Quimeyco;2020;Lote 1088;05-07-2019;15-10-2020;15,3;44.972;107;19%;4%;38.238;236.185;6,18;1,04;1,13;0,88;5,25;280.818
XI;Salar;Concheo 2;26b;15A;Aquagen;QTL IPN AGE;Quimeyco;2020;Lote 1088;05-07-2019;28-10-2020;15,8;44.972;121;11%;-2%;39.398;243.139;6,17;1,06;1,11;0,83;5,41;283.042
XI;Salar;Concheo 2;26b;14A;Aquagen;QTL IPN AGE;Quimeyco;2020;Lote 1088;05-07-2019;02-11-2020;15,9;44.972;114;19%;0%;36.317;217.509;5,99;1,06;1,13;0,83;4,84;258.909
XI;Salar;Concheo 2;26b;13A;Aquagen;QTL IPN AGE;Quimeyco;2020;Lote 1088;04-07-2019;09-11-2020;16,2;44.972;124;10%;-3%;38.858;220.800;5,68;1,10;1,14;0,79;4,91;264.951
XI;Salar;Concheo 2;26b;5A;Aquagen;QTL IPN AGE;Quimeyco;2020;Lote 1088;29-06-2019;09-11-2020;16,4;44.972;139;15%;-5%;35.943;201.751;5,61;1,12;1,20;0,76;4,49;252.960
XI;Salar;Concheo 2;26b;4A;Aquagen;QTL IPN AGE;Quimeyco;2020;Lote 1088;30-06-2019;18-11-2020;16,6;44.972;129;16%;0%;37.818;199.496;5,28;1,15;1,22;0,75;4,44;253.761
XI;Salar;Concheo 2;26b;12A;Aquagen;QTL IPN AGE;Quimeyco;2020;Lote 1088;05-07-2019;24-11-2020;16,7;44.972;116;21%;-2%;34.336;192.429;5,60;1,09;1,20;0,78;4,28;241.545
XI;Salar;Concheo 2;26b;7A;Aquagen;QTL IPN AGE;Quimeyco;2020;Lote 1088;30-06-2019;02-12-2020;17,1;44.972;139;20%;-5%;33.747;199.912;5,92;1,06;1,15;0,73;4,45;240.144
XI;Salar;Concheo 2;26b;9A;Aquagen;QTL IPN AGE;Quimeyco;2020;Lote 1088;03-07-2019;02-12-2020;17,0;44.972;138;29%;-4%;30.509;162.807;5,34;1,09;1,23;0,72;3,62;207.007
XI;Salar;Concheo 2;26b;11A;Aquagen;QTL IPN AGE;Quimeyco;2020;Lote 1088;03-07-2019;07-12-2020;17,1;44.972;127;14%;1%;39.293;220.995;5,62;1,02;1,07;0,74;4,91;249.102
XI;Salar;Concheo 2;26b;6A;Aquagen;QTL IPN AGE;Quimeyco;2020;Lote 1088;01-07-2019;18-12-2020;17,6;44.972;133;18%;1%;37.117;199.591;5,38;1,06;1,14;0,70;4,44;236.955
XI;Salar;Concheo 2;26b;8A;Aquagen;QTL IPN AGE;Quimeyco;2020;Lote 1088;03-07-2019;21-12-2020;17,6;44.972;136;29%;-1%;31.213;180.262;5,78;1,06;1,19;0,71;4,01;222.886
XI;Salar;Concheo 2;26b;10A;Aquagen;QTL IPN AGE;Quimeyco;2020;Lote 1088;03-07-2019;23-12-2020;17,7;44.972;134;18%;-6%;34.052;183.528;5,39;1,11;1,19;0,70;4,08;228.049
XI;Salar;Concheo 2;26b;18A;Aquagen;QTL IPN;Llaima Cherquen;2020;Lote 0618;11-07-2019;15-08-2020;13,1;44.972;131;5%;5%;44.681;239.842;5,37;1,06;1,08;0,94;5,33;271.426
XI;Salar;Dring 1;22a;113;Aquagen;QTL IPN SRS;Sealand;2021;Batch 47;08-01-2020;14-02-2021;13,2;47.222;141;9%;0%;43.004;190.350;4,43;1,11;1,17;0,87;4,03;232.447
XI;Salar;Dring 1;22a;107;Aquagen;QTL IPN SRS;Sealand;2021;Batch 47;18-12-2019;14-02-2021;13,9;47.222;145;5%;-1%;44.408;237.157;5,34;1,12;1,15;0,87;5,02;284.974
XI;Salar;Dring 1;22a;110;Aquagen;QTL IPN SRS;Sealand;2021;Batch 47;28-12-2019;17-02-2021;13,7;47.222;141;4%;-3%;44.034;221.197;5,02;1,11;1,13;0,87;4,68;260.321
XI;Salar;Dring 1;22a;117;Aquagen;QTL IPN SRS;Sealand;2021;Batch 47;08-01-2020;19-02-2021;13,4;47.222;149;5%;3%;45.907;208.437;4,54;1,12;1,15;0,86;4,41;248.587
XI;Salar;Dring 1;22a;115;Aquagen;QTL IPN SRS;Sealand;2021;Batch 47;08-01-2020;22-02-2021;13,5;47.222;145;5%;5%;47.003;202.456;4,31;1,14;1,16;0,84;4,29;245.204
XI;Salar;Dring 1;22a;102;Aquagen;QTL IPN SRS;Sealand;2021;Batch 47;19-12-2019;24-02-2021;14,2;47.222;143;7%;-1%;43.229;201.732;4,67;1,16;1,21;0,82;4,27;253.561
XI;Salar;Dring 1;22a;114;Aquagen;QTL IPN SRS;Sealand;2021;Batch 47;01-01-2020;25-02-2021;13,8;47.222;139;6%;3%;45.752;218.402;4,77;1,08;1,12;0,86;4,63;255.087
XI;Salar;Dring 1;22a;108;Aquagen;QTL IPN SRS;Sealand;2021;Batch 47;26-12-2019;01-03-2021;14,1;47.222;144;5%;-2%;43.836;218.757;4,99;1,15;1,18;0,84;4,63;269.058
XI;Salar;Dring 1;22a;106;Aquagen;QTL IPN SRS;Sealand;2021;Batch 47;23-12-2019;03-03-2021;14,3;47.222;145;6%;-4%;42.602;212.944;5,00;1,16;1,20;0,83;4,51;266.476
XI;Salar;Dring 1;22a;101;Aquagen;QTL IPN SRS;Sealand;2021;Batch 47;15-12-2019;04-03-2021;14,6;47.222;146;6%;-3%;43.071;220.631;5,12;1,12;1,16;0,82;4,67;268.089
XI;Salar;Dring 1;22a;104;Aquagen;QTL IPN SRS;Sealand;2021;Batch 47;19-12-2019;04-03-2021;14,5;47.222;145;5%;-2%;43.901;228.929;5,21;1,12;1,14;0,83;4,85;273.132
XI;Salar;Dring 1;22a;103;Aquagen;QTL IPN SRS;Sealand;2021;Batch 47;15-12-2019;08-03-2021;14,7;47.222;146;5%;-2%;43.951;243.646;5,54;1,13;1,16;0,83;5,16;295.421
XI;Salar;Dring 1;22a;105;Aquagen;QTL IPN SRS;Sealand;2021;Batch 47;18-12-2019;10-03-2021;14,7;47.222;145;5%;-1%;44.110;239.402;5,43;1,14;1,18;0,82;5,07;294.685
XI;Salar;Dring 1;22a;109;Aquagen;QTL IPN SRS;Sealand;2021;Batch 47;20-12-2019;12-03-2021;14,7;47.222;145;4%;-1%;44.901;235.717;5,25;1,11;1,13;0,82;4,99;279.579
XI;Salar;Dring 1;22a;111;Aquagen;QTL IPN SRS;Sealand;2021;Batch 47;21-12-2019;14-03-2021;14,7;47.222;146;6%;-2%;43.530;227.909;5,24;1,16;1,21;0,81;4,83;287.568
XI;Salar;Dring 1;22a;112;Aquagen;QTL IPN SRS;Sealand;2021;Batch 47;28-12-2019;16-03-2021;14,6;47.222;141;9%;-3%;41.542;230.894;5,56;1,08;1,15;0,84;4,89;278.802
XI;Salar;Dring 1;22a;118;Aquagen;QTL IPN SRS;Sealand;2021;Batch 47;12-01-2020;18-03-2021;14,1;47.222;153;6%;7%;47.600;218.700;4,59;1,16;1,20;0,81;4,63;273.653
XI;Salar;Dring 1;22a;116;Aquagen;QTL IPN SRS;Sealand;2021;Batch 47;10-01-2020;20-03-2021;14,3;47.222;151;8%;1%;44.304;205.347;4,63;1,21;1,27;0,80;4,35;270.913
XI;Salar;Orestes;30a;2;Aquagen;QTL IPN AGE;Santa Teresa;2021;Batch 2004;09-11-2019;27-12-2020;13,6;43.124;113;16%;-3%;35.287;165.185;4,68;1,17;1,37;0,92;3,83;237.354
XI;Salar;Orestes;30a;3;Aquagen;QTL IPN AGE;Santa Teresa;2021;Batch 2004;09-11-2019;27-12-2020;13,6;43.124;120;12%;-5%;35.761;193.660;5,42;1,17;1,30;0,94;4,49;263.204
XI;Salar;Orestes;30a;1;Aquagen;QTL IPN AGE;Santa Teresa;2021;Batch 2004;09-11-2019;07-01-2021;13,9;43.124;116;13%;0%;37.698;183.630;4,87;1,17;1,31;0,90;4,26;253.066
XI;Salar;Orestes;30a;4;Aquagen;QTL IPN AGE;Santa Teresa;2021;Batch 2004;09-11-2019;01-02-2021;14,8;43.124;125;15%;-2%;35.976;144.572;4,02;1,27;1,43;0,79;3,35;213.938
XI;Salar;Orestes;30a;21;Aquagen;QTL IPN SRS;Sealand;2021;Batch 47;27-11-2019;01-01-2021;13,1;43.124;130;7%;-2%;39.216;167.652;4,28;1,20;1,28;0,89;3,89;222.951
